epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,442.78,1.22163,4.70865,1.2283,0.36568,0.0753,0.02791,0.02116,1.04087,3.72721,1.08583,0.000103531,0.000103531,0.000103531
2,879.449,1.11423,3.2659,1.14759,0.46745,0.09325,0.03708,0.02569,1.07859,3.41492,1.08931,0.000166707,0.000166707,0.000166707
3,24165,1.11932,3.04533,1.13614,0.38948,0.11022,0.04819,0.03542,1.04187,3.15197,1.07963,0.000188567,0.000188567,0.000188567
4,24599.9,1.085,2.76717,1.13122,0.29776,0.11419,0.05612,0.04018,1.03765,2.93004,1.08287,0.000127078,0.000127078,0.000127078
5,25033.3,1.04197,2.61008,1.10145,0.34765,0.12863,0.06518,0.04828,1.00684,2.85991,1.06193,6.5104e-05,6.5104e-05,6.5104e-05
